Current,Voltage,Temperature,SOC,SOC_Estimate
14.9124,3.80263,300,0.53071,0.57449
15.1107,4.00114,300,0.530864,0.574266
14.973,3.8636,300,0.531018,0.574784
15.0288,3.91953,300,0.531173,0.574783
14.8757,3.76661,300,0.531327,0.574989
14.9474,3.83846,300,0.531482,0.574623
15.0307,3.92192,300,0.531636,0.57453
14.9149,3.80625,300,0.53179,0.574748
14.9195,3.81101,300,0.531944,0.574533
14.9881,3.87975,300,0.532099,0.574338
14.9935,3.8853,300,0.532253,0.574402
14.8676,3.75958,300,0.532407,0.574484
15.0181,3.91024,300,0.532562,0.5741
15.1291,4.02137,300,0.532716,0.574278
15.1679,4.06031,300,0.53287,0.574864
14.8333,3.72587,300,0.533025,0.575589
15.1553,4.04802,300,0.533179,0.57506
15.1635,4.0564,300,0.533333,0.575736
15.0404,3.93341,300,0.533488,0.576437
14.9143,3.80754,300,0.533642,0.57667
15.0638,3.95711,300,0.533796,0.57643
15.015,3.90853,300,0.533951,0.576752
14.8798,3.77343,300,0.534105,0.576889
14.9607,3.85453,300,0.534259,0.576519
14.9588,3.85277,300,0.534414,0.576458
15.0705,3.96463,300,0.534568,0.576391
15.011,3.90533,300,0.534722,0.576742
14.9073,3.80175,300,0.534877,0.576868
15.1157,4.01026,300,0.535031,0.576607
15.1181,4.01282,300,0.535185,0.577125
15.0094,3.90427,300,0.53534,0.577647
15.0572,3.95222,300,0.535494,0.577758
15.0345,3.92966,300,0.535648,0.578047
15.0097,3.90506,300,0.535802,0.578248
14.8264,3.72196,300,0.535957,0.578356
15.1169,4.01254,300,0.536111,0.577777
14.8976,3.79345,300,0.536265,0.578292
14.9716,3.86763,300,0.53642,0.577983
15.07,3.96615,300,0.536574,0.577956
15.1225,4.01879,300,0.536728,0.578297
14.8545,3.75095,300,0.536883,0.57883
14.9589,3.85554,300,0.537037,0.578357
14.8556,3.75231,300,0.537191,0.578283
15.1253,4.02216,300,0.537346,0.577827
14.9776,3.87462,300,0.5375,0.578378
14.9332,3.83039,300,0.537654,0.578375
14.783,3.6804,300,0.537809,0.57821
14.8685,3.76605,300,0.537963,0.577492
14.9443,3.84201,300,0.538117,0.577105
15.1548,4.05263,300,0.538272,0.577002
14.9868,3.88475,300,0.538426,0.577674
14.9666,3.86472,300,0.53858,0.577721
15.021,3.91925,300,0.538735,0.577694
14.9842,3.8827,300,0.538889,0.577868
15.0131,3.91173,300,0.539043,0.577906
15.0663,3.96505,300,0.539198,0.57805
15.0059,3.90482,300,0.539352,0.578389
15.0655,3.96453,300,0.539506,0.578502
14.9851,3.8843,300,0.539661,0.578834
14.941,3.8404,300,0.539815,0.578866
15.1077,4.00721,300,0.539969,0.578737
15.0327,3.93241,300,0.540123,0.579224
14.9173,3.81713,300,0.540278,0.57943
14.9125,3.81248,300,0.540432,0.579209
15.19,4.09016,300,0.540586,0.578975
15.0338,3.93408,300,0.540741,0.579764
14.7547,3.65516,300,0.540895,0.57997
14.97,3.87065,300,0.541049,0.579148
15.1041,4.00489,300,0.541204,0.579131
15.0371,3.93805,300,0.541358,0.579607
14.9356,3.83666,300,0.541512,0.579832
15.0225,3.92374,300,0.541667,0.579683
